Code,Variable_Description,Data_File
DRD370NQ,# of times sardines eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370O,Sea bass eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370OQ,# of times sea bass eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370P,Shark eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370PQ,# of times shark eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370Q,Swordfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370QQ,# of times swordfish eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370R,Trout eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370RQ,# of times trout eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370S,Walleye eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370SQ,# of times walleye eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370T,Other fish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370TQ,# of times other fish eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370U,Other unknown fish eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370UQ,# of times other unknown fish eaten,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370V,Refused on fish eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
SEQN,Respondent sequence number,"Dietary Interview - Total Nutrient Intakes, Second Day"
WTDRD1PP,Dietary day one sample weight,"Dietary Interview - Total Nutrient Intakes, Second Day"
WTDR2DPP,Dietary two-day sample weight,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2DRSTZ,Dietary recall status,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2EXMER,Interviewer ID code,"Dietary Interview - Total Nutrient Intakes, Second Day"
DRABF,Breast-fed infant (either day),"Dietary Interview - Total Nutrient Intakes, Second Day"
DRDINT,Number of days of intake,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2DBIH,# of days b/w intake and HH interview,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2DAY,Intake day of the week,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2LANG,Language respondent used mostly,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2MRESP,Main respondent for this interview,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2HELP,Helped in responding for this interview,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TNUMF,Number of foods/beverages reported,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2STY,Salt used at table yesterday?,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2SKY,Type of salt used yesterday,"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TKCAL,Energy (kcal),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TPROT,Protein (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TCARB,Carbohydrate (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TSUGR,Total sugars (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TFIBE,Dietary fiber (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TTFAT,Total fat (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TSFAT,Total saturated fatty acids (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TMFAT,Total monounsaturated fatty acids (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TPFAT,Total polyunsaturated fatty acids (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TCHOL,Cholesterol (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TATOC,Vitamin E as alpha-tocopherol (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TATOA,Added alpha-tocopherol (Vitamin E) (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TRET,Retinol (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TVARA,"Vitamin A, RAE (mcg)","Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TACAR,Alpha-carotene (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TBCAR,Beta-carotene (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TCRYP,Beta-cryptoxanthin (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TLYCO,Lycopene (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TLZ,Lutein + zeaxanthin (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TVB1,Thiamin (Vitamin B1) (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TVB2,Riboflavin (Vitamin B2) (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TNIAC,Niacin (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TVB6,Vitamin B6 (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TFOLA,Total folate (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TFA,Folic acid (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TFF,Food folate (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TFDFE,"Folate, DFE (mcg)","Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TCHL,Total choline (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TVB12,Vitamin B12 (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TB12A,Added vitamin B12 (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TVC,Vitamin C (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TVD,Vitamin D (D2 + D3) (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TVK,Vitamin K (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TCALC,Calcium (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TPHOS,Phosphorus (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TMAGN,Magnesium (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TIRON,Iron (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TZINC,Zinc (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TCOPP,Copper (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TSODI,Sodium (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TPOTA,Potassium (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TSELE,Selenium (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TCAFF,Caffeine (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TTHEO,Theobromine (mg),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TALCO,Alcohol (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TMOIS,Moisture (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TS040,SFA 4:0 (Butanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TS060,SFA 6:0 (Hexanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TS080,SFA 8:0 (Octanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TS100,SFA 10:0 (Decanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TS120,SFA 12:0 (Dodecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TS140,SFA 14:0 (Tetradecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TS160,SFA 16:0 (Hexadecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TS180,SFA 18:0 (Octadecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TM161,MFA 16:1 (Hexadecenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TM181,MFA 18:1 (Octadecenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TM201,MFA 20:1 (Eicosenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TM221,MFA 22:1 (Docosenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TP182,PFA 18:2 (Octadecadienoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TP183,PFA 18:3 (Octadecatrienoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TP184,PFA 18:4 (Octadecatetraenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TP204,PFA 20:4 (Eicosatetraenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TP205,PFA 20:5 (Eicosapentaenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TP225,PFA 22:5 (Docosapentaenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TP226,PFA 22:6 (Docosahexaenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2BWATZ,Total bottled water drank yesterday (gm),"Dietary Interview - Total Nutrient Intakes, Second Day"
DR2TWSZ,Tap water source,"Dietary Interview - Total Nutrient Intakes, Second Day"
DRXFDCD,Food Code,Dietary Interview Technical Support File - Food Codes
DRXFCSD,Short Food Code Description,Dietary Interview Technical Support File - Food Codes
DRXFCLD,Long Food Code Description,Dietary Interview Technical Support File - Food Codes
DSDIID,INGREDIENT ID NUMBER,Dietary Supplement Database - Blend Information
DSDINGR,INGREDIENT NAME,Dietary Supplement Database - Blend Information
DSDBID,BLEND COMPONENT ID,Dietary Supplement Database - Blend Information
DSDBCNAM,BLEND COMPONENT NAME,Dietary Supplement Database - Blend Information
DSDBCCAT,BLEND COMPONENT CATEGORY,Dietary Supplement Database - Blend Information
DSDBCID,BLEND COMPONENT ID - OLD VERSION,Dietary Supplement Database - Blend Information
DSDPID,SUPPLEMENT ID NUMBER,Dietary Supplement Database - Ingredient Information
DSDSUPP,SUPPLEMENT NAME,Dietary Supplement Database - Ingredient Information
DSDIID,INGREDIENT ID NUMBER,Dietary Supplement Database - Ingredient Information
DSDINGR,INGREDIENT NAME,Dietary Supplement Database - Ingredient Information
DSDOPER,INGREDIENT OPERATOR,Dietary Supplement Database - Ingredient Information
DSDQTY,INGREDIENT QUANTITY,Dietary Supplement Database - Ingredient Information
DSDUNIT,INGREDIENT UNIT,Dietary Supplement Database - Ingredient Information
DSDCAT,INGREDIENT CATEGORY,Dietary Supplement Database - Ingredient Information
DSDBLFLG,BLEND FLAG,Dietary Supplement Database - Ingredient Information
DSDINGID,INGREDIENT ID NUMBER - OLD VERSION,Dietary Supplement Database - Ingredient Information
DSDPID,SUPPLEMENT ID NUMBER,Dietary Supplement Database - Product Information
DSDPRDT,PRODUCT TYPE,Dietary Supplement Database - Product Information
DSDSUPP,SUPPLEMENT NAME,Dietary Supplement Database - Product Information
DSDSRCE,SUPPLEMENT INFORMATION SOURCE,Dietary Supplement Database - Product Information
DSDTYPE,SUPPLEMENT TYPE,Dietary Supplement Database - Product Information
DSDSERVQ,SERVING SIZE QUANTITY,Dietary Supplement Database - Product Information
DSDSERVU,SERVING SIZE UNIT,Dietary Supplement Database - Product Information
DSDPREID,PREVIOUS PRODUCT ID,Dietary Supplement Database - Product Information
DSDORGID,ORIGINAL PRODUCT ID,Dietary Supplement Database - Product Information
DSDSGPF,SEQUENTIAL GROUP FORMULATION,Dietary Supplement Database - Product Information
DSDSEQF,SEQUENTIAL FORMULATION,Dietary Supplement Database - Product Information
DSDLINRF,LINEAR FORMULATION,Dietary Supplement Database - Product Information
DSDCNTV,COUNT OF VITAMINS IN THE SUPPLEMENT,Dietary Supplement Database - Product Information
DSDCNTM,COUNT OF MINERALS IN THE SUPPLEMENT,Dietary Supplement Database - Product Information
DSDCNTA,COUNT OF AMINO ACIDS IN THE SUPPLEMENT,Dietary Supplement Database - Product Information
DSDCNTB,COUNT OF BOTANICALS IN THE SUPPLEMENT,Dietary Supplement Database - Product Information
DSDCNTO,COUNT OF OTHER INGREDIENTS IN SUPPLEMENT,Dietary Supplement Database - Product Information
DSDSUPID,SUPPLEMENT ID NUMBER - OLD VERSION,Dietary Supplement Database - Product Information
SEQN,Respondent sequence number,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
WTDRD1PP,Dietary day one sample weight,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
WTDR2DPP,Dietary two-day sample weight,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DR1DRSTZ,Dietary recall status,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DR1EXMER,Interviewer ID code,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DRDINT,Number of days of intake,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DR1DBIH,# of days b/w intake and HH interview,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DR1DAY,Intake day of the week,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DR1LANG,Language respondent used mostly,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1LOC,Location supplement originally recorded,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DSDPID,NCHS Supplement ID,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DSDSUPP,Supplement Name,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1MTCH,Matching code,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ANTA,Antacid containing calcium/magnesium,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ACTSS,Reported serving size/label serving size,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IKCAL,Energy (kcal),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IPROT,Protein (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ICARB,Carbohydrate (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ISUGR,Total sugars (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IFIBE,Dietary fiber (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ITFAT,Total fat (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ISFAT,Total saturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IMFAT,Total monounsaturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IPFAT,Total polyunsaturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ICHOL,Cholesterol (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ILYCO,Lycopene (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ILZ,Lutein + zeaxanthin (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IVB1,Thiamin (Vitamin B1) (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IVB2,Riboflavin (Vitamin B2) (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1INIAC,Niacin (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IVB6,Vitamin B6 (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IFA,Folic acid (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IFDFE,"Folate, DFE (mcg)","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ICHL,Total choline (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IVB12,Vitamin B12 (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IVC,Vitamin C (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IVK,Vitamin K (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IVD,Vitamin D (D2 + D3) (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ICALC,Calcium (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IPHOS,Phosphorus (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IMAGN,Magnesium (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IIRON,Iron (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IZINC,Zinc (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ICOPP,Copper (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ISODI,Sodium (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IPOTA,Potassium (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ISELE,Selenium (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1ICAFF,Caffeine (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
DS1IIODI,Iodine (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
SEQN,Respondent sequence number,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
WTDRD1PP,Dietary day one sample weight,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
WTDR2DPP,Dietary two-day sample weight,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DR2DRSTZ,Dietary recall status,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DR2EXMER,Interviewer ID code,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DRDINT,Number of days of intake,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DR2DBIH,# of days b/w intake and HH interview,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DR2DAY,Intake day of the week,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DR2LANG,Language respondent used mostly,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2LOC,Location supplement originally recorded,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DSDPID,NCHS Supplement ID,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DSDSUPP,Supplement Name,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2MTCH,Matching code,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ANTA,Antacid containing calcium/magnesium,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ACTSS,Reported serving size/label serving size,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IKCAL,Energy (kcal),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IPROT,Protein (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ICARB,Carbohydrate (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ISUGR,Total sugars (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IFIBE,Dietary fiber (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ITFAT,Total fat (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ISFAT,Total saturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IMFAT,Total monounsaturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IPFAT,Total polyunsaturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ICHOL,Cholesterol (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ILYCO,Lycopene (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ILZ,Lutein + zeaxanthin (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IVB1,Thiamin (Vitamin B1) (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IVB2,Riboflavin (Vitamin B2) (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2INIAC,Niacin (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IVB6,Vitamin B6 (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IFA,Folic acid (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IFDFE,"Folate, DFE (mcg)","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ICHL,Total choline (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IVB12,Vitamin B12 (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IVC,Vitamin C (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IVK,Vitamin K (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IVD,Vitamin D (D2 + D3) (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ICALC,Calcium (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IPHOS,Phosphorus (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IMAGN,Magnesium (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IIRON,Iron (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IZINC,Zinc (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ICOPP,Copper (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ISODI,Sodium (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IPOTA,Potassium (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ISELE,Selenium (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2ICAFF,Caffeine (mg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
DS2IIODI,Iodine (mcg),"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
SEQN,Respondent sequence number,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
WTDRD1PP,Dietary day one sample weight,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
WTDR2DPP,Dietary two-day sample weight,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DR1DRSTZ,Dietary recall status,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DR1EXMER,Interviewer ID code,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DRDINT,Number of days of intake,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DR1DBIH,# of days b/w intake and HH interview,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DR1DAY,Intake day of the week,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DR1LANG,Language respondent used mostly,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DR1MRESP,Main respondent for this interview,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DR1HELP,Helped in responding for this interview,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1DSCNT,Total # of Dietary Supplements Taken,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1DS,Any Dietary Supplements Taken?,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1ANCNT,Total # of Antacids Taken,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1AN,Any Antacids Taken?,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TKCAL,Energy (kcal),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TPROT,Protein (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TCARB,Carbohydrate (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TSUGR,Total sugars (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TFIBE,Dietary fiber (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TTFAT,Total fat (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TSFAT,Total saturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TMFAT,Total monounsaturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TPFAT,Total polyunsaturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TCHOL,Cholesterol (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TLYCO,Lycopene (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TLZ,Lutein + zeaxanthin (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TVB1,Thiamin (Vitamin B1) (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TVB2,Riboflavin (Vitamin B2) (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TNIAC,Niacin (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TVB6,Vitamin B6 (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TVB12,Vitamin B12 (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TFA,Folic acid (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TFDFE,"Folate, DFE (mcg)","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TCHL,Total choline (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TVC,Vitamin C (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TVK,Vitamin K (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TVD,Vitamin D (D2 + D3) (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TCALC,Calcium (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TPHOS,Phosphorus (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TMAGN,Magnesium (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TIRON,Iron (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TZINC,Zinc (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TCOPP,Copper (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
